"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP165679","SRR8052844","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428004: AD_033_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3428004"
"SRP165679","SRR8052845","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428005: AD_033_chronic_lesion; Homo sapiens; RNA-Seq","skin type;;chronic_lesion|source_name;;skin biopsy","GEO Accession;;GSM3428005"
"SRP165679","SRR8052846","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428006: AD_034_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3428006"
"SRP165679","SRR8052847","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428007: AD_034_chronic_lesion; Homo sapiens; RNA-Seq","skin type;;chronic_lesion|source_name;;skin biopsy","GEO Accession;;GSM3428007"
"SRP165679","SRR8052848","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428008: AD_032_chronic_lesion; Homo sapiens; RNA-Seq","skin type;;chronic_lesion|source_name;;skin biopsy","GEO Accession;;GSM3428008"
"SRP165679","SRR8052849","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428009: AD_035_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3428009"
"SRP165679","SRR8052850","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428010: AD_035_chronic_lesion; Homo sapiens; RNA-Seq","skin type;;chronic_lesion|source_name;;skin biopsy","GEO Accession;;GSM3428010"
"SRP165679","SRR8052851","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428011: AD_036_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3428011"
"SRP165679","SRR8052852","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428012: AD_036_chronic_lesion; Homo sapiens; RNA-Seq","skin type;;chronic_lesion|source_name;;skin biopsy","GEO Accession;;GSM3428012"
"SRP165679","SRR8052853","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428013: AD_037_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3428013"
"SRP165679","SRR8052854","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428014: AD_037_chronic_lesion; Homo sapiens; RNA-Seq","skin type;;chronic_lesion|source_name;;skin biopsy","GEO Accession;;GSM3428014"
